,stop_name,Ward_name
319,VICTORIA PARK AVE AT SLOANE AVE,Don Valley East
320,1915 MARTIN GROVE RD,Etobicoke North
321,AVENUE RD AT DUPONT ST,University-Rosedale
322,SHORNCLIFFE AVE AT NORTH QUEEN ST,Etobicoke-Lakeshore
323,HIGH PARK AVE AT GLENLAKE AVE,Parkdale-High Park
324,THE WESTWAY AT SUN ROW DR EAST SIDE,Etobicoke Centre
325,O'CONNOR DR AT RALSTON AVE WEST SIDE,Beaches-East York
326,ST CLAIR AVE WEST AT OAKWOOD AVE,Davenport
327,FINCH AVE WEST AT WOODBINE DOWNS BLVD,Etobicoke North
328,EGLINTON AVE WEST AT BLACKTHORN AVE,York South-Weston
329,YONGE ST AT SHUTER ST,Toronto Centre
330,DUFFERIN ST AT DUFFERIN PARK AVE,Davenport
331,MAPLE LEAF DR AT CULFORD RD,York South-Weston
332,KEELE ST AT BROADOAKS DR,York Centre
333,WILSON HEIGHTS BLVD AT CODSELL AVE,York Centre
334,DAVISVILLE AVE AT MT PLEASANT RD,Don Valley West
335,SHEPPARD AVE EAST AT BROWNSPRING RD,Scarborough North
336,MT PLEASANT RD AT GLENGOWAN RD,Don Valley West
337,MAYBROOK DR AT MCNICOLL AVE NORTH SIDE,Scarborough North
338,GENTIAN DR AT WELLESWORTH DR,Etobicoke Centre
339,KENNEDY RD AT JADE ST,Scarborough-Agincourt
340,FINCH AVE WEST AT GRANTBROOK ST WEST SIDE,Willowdale
341,BRIMLEY RD AT DENNETT DR,Scarborough North
342,QUEEN ST EAST AT COXWELL AVE,Toronto-Danforth
343,FINCHDENE SQ AT TORHAM PL,Scarborough North
344,ANNETTE ST AT KEELE ST,Parkdale-High Park
345,UPHILL AVE AT CHURCH ST,York South-Weston
346,KENNEDY RD AT RANSTONE GARDENS,Scarborough Centre
347,KENNEDY RD AT PARK ST,Scarborough Southwest
348,ISLINGTON AVE AT NORDIN AVE,Etobicoke-Lakeshore
