47,LANSDOWNE AND DUPONT,9
35,JANE AND SHOREHAM,9
50,ISLINGTON STATION,9
97,FINCH STATION,9
953,PASSMORE AND MARKHAM,9
42,MCNICOLL AND VICTORIA,9
101,SHEPPARD WEST STATION,9
36,FINCH AND MARTIN GROVE,9
52,LAWRENCE AND SCARLETT,9
61,AVENUE AND WILSON,9
85,ROUGE HILL GO STATION,9
927,STEELES AND MARTIN GRO,9
84,SHEPPARD AND BATHURST,9
7,BATHURST AND FISHERVIL,9
902,WARDEN STATION,9
54,LAWRENCE AND SCARBOROU,9
52,PEARSON AIRPORT - TERM,9
165,WESTON AND ORMONT,9
84,BRADSTOCK AND WESTON,9
133,MORNINGSIDE AND FINCH,9
939,FINCH AND DON MILLS,9
165,WESTON AND SHEPPARD,9
39,FINCH AND WARDEN,9
29,MANITOBA AND NOVA SCOT,9
85,MALVERN GATE,9
939,MCCOWAN AND SHEPPARD,9
15,ROYAL YORK STATION,9
984,WESTON AND BRADSTOCK,9
35,JANE AND FIRGROVE,9
39,NEILSON AND CROW TRAIL,9
32,EGLINTON AND BATHURST,9
81,THORNCLIFFE AND OVERLE,8
39,FINCH AND BAYVIEW,8
17,BIRCHMOUNT AND STEELES,8
168,OLD WESTON AND ST CLAI,8
17,BIRCHMOUNT AND MCNICOL,8
39,LITTLES AND SEWELLS,8
86,MEADOWVALE AND SHEPPAR,8
42,CUMMER AND BAYVIEW,8
46,MARTIN GROVE AND STEEL,8
35,JANE AND STEELES,8
34,EGLINTON AND BIRCHMOUN,8
81,MILLWOOD AND OVERLEA,8
25,DON MILLS AND EGLINTON,8
84,SHEPPARD AND ARROW,8
