,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Fleet
57958,4/14/22,100,12:51,Thursday,BROADVIEW STATION,Operations - Operator,9,18,W,8755
58501,4/19/22,989,05:38,Tuesday,KEELE STATION,Operations - Operator,24,24,nan,0
58584,4/19/22,34,16:02,Tuesday,KENNEDY STATION,Operations - Operator,11,22,E,8722
58737,4/20/22,925,16:27,Wednesday,DON MILLS STATION,Operations - Operator,10,21,S,8685
58801,4/21/22,43,05:01,Thursday,KENNEDY AND PASSMORE,Operations - Operator,10,10,S,3212
58822,4/21/22,989,06:48,Thursday,SIGNET AND STEELES,Operations - Operator,14,29,nan,0
58935,4/22/22,960,05:34,Friday,DUFFERIN AND STEELES,Operations - Operator,7,10,nan,0
58949,4/22/22,989,06:04,Friday,SIGNET HILL AND STEELE,Operations - Operator,14,29,nan,0
58986,4/22/22,52,13:20,Friday,LAWRENCE WEST STATION,Operations - Operator,20,40,E,3483
59122,4/23/22,25,13:43,Saturday,PAPE STATION,Operations - Operator,7,14,S,8852
59200,4/24/22,320,02:29,Sunday,YONGE AND STEELES,Operations - Operator,3,7,S,0
59382,4/25/22,929,14:38,Monday,WILSON STATION,Mechanical,9,19,S,9151
59475,4/26/22,47,05:46,Tuesday,EARLS COURT LOOP,Operations - Operator,10,20,nan,0
59482,4/26/22,89,06:19,Tuesday,ALBION AND WESTON,Operations - Operator,8,16,nan,0
59487,4/26/22,13,06:38,Tuesday,EGLINTON STATION,Operations - Operator,20,40,nan,0
59493,4/26/22,960,07:05,Tuesday,SIGNAL HILL AND STEELE,Operations - Operator,6,12,nan,0
59568,4/26/22,94,17:16,Tuesday,CASTLE FRANK STATION,Operations - Operator,8,17,W,8486
59588,4/26/22,85,20:44,Tuesday,MEADOWVALE LOOP,Operations - Operator,16,22,W,3460
59742,4/27/22,70,18:51,Wednesday,ST CLAIR AND GLENBURN,Utilized Off Route,13,26,W,8447
59850,4/28/22,74,14:12,Thursday,EGLINTON YARD,Operations - Operator,20,40,nan,0
59951,4/29/22,47,05:25,Friday,YORKDALE STATION,Operations - Operator,10,20,nan,0
59955,4/29/22,47,05:35,Friday,YORKDALE STATION,Operations - Operator,10,20,nan,0
59997,4/29/22,36,10:09,Friday,HUMBERWOOD LOOP,Operations - Operator,5,10,nan,0
60252,4/30/22,24,18:20,Saturday,VICTORIA PARK STATION,Operations - Operator,8,15,N,8561
60255,4/30/22,94,18:31,Saturday,CASTLE FRANK STATION,Operations - Operator,8,16,E,8456
60344,5/1/22,960,18:19,Sunday,STEELES AND ALNESS,Operations - Operator,8,16,E,8161
