,stop_name,FTH_FAITH,dist
323,HIGH PARK AVE AT GLENLAKE AVE,Christian,5233000.792759831
324,THE WESTWAY AT SUN ROW DR EAST SIDE,Christian,5233000.74222658
325,O'CONNOR DR AT RALSTON AVE WEST SIDE,Christian,5233000.789735305
326,ST CLAIR AVE WEST AT OAKWOOD AVE,Christian,5233000.779278232
327,FINCH AVE WEST AT WOODBINE DOWNS BLVD,Christian,5233000.681819498
328,EGLINTON AVE WEST AT BLACKTHORN AVE,Christian,5233000.7594991615
329,YONGE ST AT SHUTER ST,Christian,5233000.8183827195
330,DUFFERIN ST AT DUFFERIN PARK AVE,Christian,5233000.801090918
331,MAPLE LEAF DR AT CULFORD RD,Christian,5233000.7332818275
332,KEELE ST AT BROADOAKS DR,Christian,5233000.6901073735
333,WILSON HEIGHTS BLVD AT CODSELL AVE,Christian,5233000.7018156545
334,DAVISVILLE AVE AT MT PLEASANT RD,Christian,5233000.772001861
335,SHEPPARD AVE EAST AT BROWNSPRING RD,Christian,5233000.719391994
336,MT PLEASANT RD AT GLENGOWAN RD,Christian,5233000.750744426
337,MAYBROOK DR AT MCNICOLL AVE NORTH SIDE,Christian,5233000.688293205
338,GENTIAN DR AT WELLESWORTH DR,Christian,5233000.754420964
339,KENNEDY RD AT JADE ST,Christian,5233000.719792373
340,FINCH AVE WEST AT GRANTBROOK ST WEST SIDE,Christian,5233000.686917304
341,BRIMLEY RD AT DENNETT DR,Christian,5233000.712979312
342,QUEEN ST EAST AT COXWELL AVE,Christian,5233000.823481744
343,FINCHDENE SQ AT TORHAM PL,Christian,5233000.697681092
344,ANNETTE ST AT KEELE ST,Christian,5233000.787156448
345,UPHILL AVE AT CHURCH ST,Christian,5233000.731841529
346,KENNEDY RD AT RANSTONE GARDENS,Christian,5233000.76192889
347,KENNEDY RD AT PARK ST,Christian,5233000.797209127
348,ISLINGTON AVE AT NORDIN AVE,Christian,5233000.8087918125
349,NEILSON RD AT OPP WALKWAY TO BLACKWATER CRES & KESSACK CRT,Christian,5233000.720505761
350,SHORNCLIFFE RD AT DUNDAS ST WEST,Christian,5233000.79639654
351,SLOANE AVE AT TROPHY DR,Christian,5233000.765464587
352,SHEPPARD AVE WEST AT JANE ST,Christian,5233000.700923437
353,NIGHTSTAR RD AT POGONIA ST,Christian,5233000.694317647
354,MORNINGSIDE AVE AT MILNER AVE,Christian,5233000.725450443
355,JONES AVE AT QUEEN ST EAST NORTH SIDE,Christian,5233000.822402258
356,DIXON RD AT ISLINGTON AVE EAST SIDE,Christian,5233000.73316981
357,GREENWOOD AVE AT DUNDAS ST EAST,Christian,5233000.819281122
358,KINGSTON RD AT GLEN MANOR DR,Christian,5233000.816365795
359,DAVENPORT RD AT DUFFERIN ST,Christian,5233000.784233125
360,GERRARD ST EAST AT NORWOOD RD,Christian,5233000.810535043
361,HULLMAR DR AT BAMFORD CRES,Christian,5233000.66880597
362,KENNEDY RD AT DANCY AVE NORTH SIDE,Christian,5233000.693434071
363,VAN HORNE AVE AT HOBART DR,Christian,5233000.697320771
