,stop_name,closest_station,dist
8663,ST CLAIR STATION - NORTHBOUND PLATFORM,ST CLAIR STATION - NORTHBOUND PLATFORM,0.0
8664,DAVISVILLE STATION - NORTHBOUND PLATFORM,DAVISVILLE STATION - NORTHBOUND PLATFORM,0.0
8665,EGLINTON STATION - NORTHBOUND PLATFORM,EGLINTON STATION - NORTHBOUND PLATFORM,0.0
8666,LAWRENCE STATION - NORTHBOUND PLATFORM,LAWRENCE STATION - NORTHBOUND PLATFORM,0.0
8667,YORK MILLS STATION - NORTHBOUND PLATFORM,YORK MILLS STATION - NORTHBOUND PLATFORM,0.0
8668,SHEPPARD-YONGE STATION - NORTHBOUND PLATFORM,SHEPPARD-YONGE STATION - NORTHBOUND PLATFORM,0.0
8669,NORTH YORK CENTRE STATION - NORTHBOUND PLATFORM,NORTH YORK CENTRE STATION - NORTHBOUND PLATFORM,0.0
8670,FINCH STATION - SUBWAY PLATFORM,FINCH STATION - SUBWAY PLATFORM,0.0
8671,KIPLING STATION - EASTBOUND PLATFORM,KIPLING STATION - EASTBOUND PLATFORM,0.0
8672,ISLINGTON STATION - EASTBOUND PLATFORM,ISLINGTON STATION - EASTBOUND PLATFORM,0.0
8673,ROYAL YORK STATION - EASTBOUND PLATFORM,ROYAL YORK STATION - EASTBOUND PLATFORM,0.0
8674,OLD MILL STATION - EASTBOUND PLATFORM,OLD MILL STATION - EASTBOUND PLATFORM,0.0
8675,JANE STATION - EASTBOUND PLATFORM,JANE STATION - EASTBOUND PLATFORM,0.0
8676,RUNNYMEDE STATION - EASTBOUND PLATFORM,RUNNYMEDE STATION - EASTBOUND PLATFORM,0.0
8677,HIGH PARK STATION - EASTBOUND PLATFORM,HIGH PARK STATION - EASTBOUND PLATFORM,0.0
8678,KEELE STATION - EASTBOUND PLATFORM,KEELE STATION - EASTBOUND PLATFORM,0.0
8679,DUNDAS WEST STATION - EASTBOUND PLATFORM,DUNDAS WEST STATION - EASTBOUND PLATFORM,0.0
8680,LANSDOWNE STATION - EASTBOUND PLATFORM,LANSDOWNE STATION - EASTBOUND PLATFORM,0.0
8681,DUFFERIN STATION - EASTBOUND PLATFORM,DUFFERIN STATION - EASTBOUND PLATFORM,0.0
8682,OSSINGTON STATION - EASTBOUND PLATFORM,OSSINGTON STATION - EASTBOUND PLATFORM,0.0
8683,CHRISTIE STATION - EASTBOUND PLATFORM,CHRISTIE STATION - EASTBOUND PLATFORM,0.0
8684,BATHURST STATION - EASTBOUND PLATFORM,BATHURST STATION - EASTBOUND PLATFORM,0.0
8685,SPADINA STATION - EASTBOUND PLATFORM,SPADINA STATION - EASTBOUND PLATFORM,0.0
8686,ST GEORGE STATION - EASTBOUND PLATFORM,ST GEORGE STATION - EASTBOUND PLATFORM,0.0
8687,BAY STATION - EASTBOUND PLATFORM,BAY STATION - EASTBOUND PLATFORM,0.0
8688,YONGE STATION - EASTBOUND PLATFORM,YONGE STATION - EASTBOUND PLATFORM,0.0
8689,SHERBOURNE STATION - EASTBOUND PLATFORM,SHERBOURNE STATION - EASTBOUND PLATFORM,0.0
8690,CASTLE FRANK STATION - EASTBOUND PLATFORM,CASTLE FRANK STATION - EASTBOUND PLATFORM,0.0
